label,window_start,window_end,ad_p50_ms,ad_p95_ms,ad_p99_ms,ad_error_rate,ad_throughput_rps,ad_cpu_avg,ad_cpu_max,ad_mem_avg_mb,ad_mem_max_mb,cart_p50_ms,cart_p95_ms,cart_p99_ms,cart_error_rate,cart_throughput_rps,cart_cpu_avg,cart_cpu_max,cart_mem_avg_mb,cart_mem_max_mb,checkout_p50_ms,checkout_p95_ms,checkout_p99_ms,checkout_error_rate,checkout_throughput_rps,checkout_cpu_avg,checkout_cpu_max,checkout_mem_avg_mb,checkout_mem_max_mb,currency_p50_ms,currency_p95_ms,currency_p99_ms,currency_error_rate,currency_throughput_rps,currency_cpu_avg,currency_cpu_max,currency_mem_avg_mb,currency_mem_max_mb,email_p50_ms,email_p95_ms,email_p99_ms,email_error_rate,email_throughput_rps,email_cpu_avg,email_cpu_max,email_mem_avg_mb,email_mem_max_mb,frontend_p50_ms,frontend_p95_ms,frontend_p99_ms,frontend_error_rate,frontend_throughput_rps,frontend_cpu_avg,frontend_cpu_max,frontend_mem_avg_mb,frontend_mem_max_mb,frontend_proxy_p50_ms,frontend_proxy_p95_ms,frontend_proxy_p99_ms,frontend_proxy_error_rate,frontend_proxy_throughput_rps,frontend_proxy_cpu_avg,frontend_proxy_cpu_max,frontend_proxy_mem_avg_mb,frontend_proxy_mem_max_mb,image_provider_p50_ms,image_provider_p95_ms,image_provider_p99_ms,image_provider_error_rate,image_provider_throughput_rps,image_provider_cpu_avg,image_provider_cpu_max,image_provider_mem_avg_mb,image_provider_mem_max_mb,payment_p50_ms,payment_p95_ms,payment_p99_ms,payment_error_rate,payment_throughput_rps,payment_cpu_avg,payment_cpu_max,payment_mem_avg_mb,payment_mem_max_mb,product_catalog_p50_ms,product_catalog_p95_ms,product_catalog_p99_ms,product_catalog_error_rate,product_catalog_throughput_rps,product_catalog_cpu_avg,product_catalog_cpu_max,product_catalog_mem_avg_mb,product_catalog_mem_max_mb,quote_p50_ms,quote_p95_ms,quote_p99_ms,quote_error_rate,quote_throughput_rps,quote_cpu_avg,quote_cpu_max,quote_mem_avg_mb,quote_mem_max_mb,recommendation_p50_ms,recommendation_p95_ms,recommendation_p99_ms,recommendation_error_rate,recommendation_throughput_rps,recommendation_cpu_avg,recommendation_cpu_max,recommendation_mem_avg_mb,recommendation_mem_max_mb,shipping_p50_ms,shipping_p95_ms,shipping_p99_ms,shipping_error_rate,shipping_throughput_rps,shipping_cpu_avg,shipping_cpu_max,shipping_mem_avg_mb,shipping_mem_max_mb,flagd_p50_ms,flagd_p95_ms,flagd_p99_ms,flagd_error_rate,flagd_throughput_rps,flagd_cpu_avg,flagd_cpu_max,flagd_mem_avg_mb,flagd_mem_max_mb,flagd_ui_p50_ms,flagd_ui_p95_ms,flagd_ui_p99_ms,flagd_ui_error_rate,flagd_ui_throughput_rps,flagd_ui_cpu_avg,flagd_ui_cpu_max,flagd_ui_mem_avg_mb,flagd_ui_mem_max_mb,kafka_p50_ms,kafka_p95_ms,kafka_p99_ms,kafka_error_rate,kafka_throughput_rps,kafka_cpu_avg,kafka_cpu_max,kafka_mem_avg_mb,kafka_mem_max_mb,accounting_p50_ms,accounting_p95_ms,accounting_p99_ms,accounting_error_rate,accounting_throughput_rps,accounting_cpu_avg,accounting_cpu_max,accounting_mem_avg_mb,accounting_mem_max_mb,fraud_detection_p50_ms,fraud_detection_p95_ms,fraud_detection_p99_ms,fraud_detection_error_rate,fraud_detection_throughput_rps,fraud_detection_cpu_avg,fraud_detection_cpu_max,fraud_detection_mem_avg_mb,fraud_detection_mem_max_mb
baseline,2026-09-15T05:45:23.017824+00:00,2026-09-15T05:46:03.018393+00:00,29.2245035,131.46111174999996,153.37211275,0.0,0.19999715504046955,0.01073353226740302,0.01073353226740302,18.06991672515869,61.09296417236328,1.853,31.521025,43.45496999999998,0.0,0.899987197682113,41.388609,0.0,69.85546875,69.85546875,1219.4486455,1220.29306915,1220.3681290299999,0.0,0.04999928876011739,0.0,0.0,7.397586822509766,13.795173645019531,2.242968,4.776118199999999,5.791018039999999,0.0,0.22499679942052825,0.0,0.0,0.0,0.0,19.997859,21.2261655,21.3353483,0.0,0.04999928876011739,0.0,0.0,0.0,0.0,13.3580425,197.64688499999966,1360.1031097400146,0.02631578947368421,3.7999459457689215,0.0,0.0,3.5037642258864183,31.245689392089844,15.827,316.9047,2621.3273400000007,0.020512820512820513,4.874930654111445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0999843527225825,0.0,0.0,0.0,0.0,3.9230765,6.89264765,7.15660953,0.0,0.04999928876011739,0.0,0.0,74.6171875,74.6171875,4.780063,44.79659175,62.82414925,0.0,1.8999729728844608,0.0,0.0,7.366336822509766,13.263923645019531,0.582152,3.1947278,3.42695676,0.0,0.07499893314017608,0.0,0.0,0.0,0.0,7.080142,18.663584399999998,20.11920968,0.0,0.22499679942052825,0.0,0.0,0.0,0.0,11.460592,42.7300012,47.806649039999996,0.0,0.12499822190029347,0.0,0.0,0.0,0.0,0.3161135,21.2009436,29.783655689999996,0.0,1.4499793740434044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007753487958766551,0.007753487958766551,40.77545738220215,204.03402709960938,0.0,0.0,0.0,0.0,0.0,48.4756645,0.0,106.84765625,106.84765625,50.278264,90.6713017,94.26179394,0.0,0.04999928876011739,0.02360085416852033,0.02360085416852033,19.58968734741211,69.92208862304688
baseline,2026-09-15T05:46:11.499453+00:00,2026-09-15T05:46:51.499622+00:00,117.977744,343.6025291999998,393.0199466399999,0.0,0.17499926062812385,0.0,0.0,0.0,0.0,2.1786,29.944194999999954,55.30908600000003,0.0,0.849996408765173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0644715,19.58404185,20.24153397,0.0,0.09999957750178505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.048569,174.9831689,15000.440226319999,0.04081632653061224,3.6749844731906007,0.0,0.0,3.7084197998046875,33.55768585205078,18.518,296.001,15000.41695,0.05102040816326531,4.899979297587468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.324994401898652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3071,52.76504400000001,68.47456023999997,0.0,1.9249918669093624,0.0,0.0,7.596805572509766,13.756111145019531,56.4816845,107.03242055,111.52581931,0.0,0.049999788750892525,0.0,0.0,0.0,0.0,7.4764795,14.710716849999997,15.67328017,0.0,0.24999894375446263,0.005,0.005,51.1015625,51.1015625,131.1338455,137.76882684999998,138.35860297,0.0,0.049999788750892525,0.0,0.0,0.0,0.0,0.279785,20.64475569999997,41.57184939000002,0.0,0.949995986266958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008084317813296271,0.008084317813296271,40.07270622253418,206.3255844116211,0.0,0.0,0.0,0.0,0.0,50.4189095,0.0,110.4765625,110.4765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2026-09-15T05:47:17.398229+00:00,2026-09-15T05:47:57.398465+00:00,32.1966975,217.673595,256.99674780000004,0.0,0.14999911500522148,0.0,0.0,0.0,0.0,5.0842,2387.0003199999915,9925.119423999999,0.0,0.42499749251479413,43.894201,0.0,74.37890625,74.37890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21811,29.749793949999997,32.09954119,0.0,0.09999941000348098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.149619,116.08403885000001,399.4523229100019,0.05063291139240506,3.9499766951374986,0.0,0.0,3.956928546612079,36.3958740234375,19.296,180.08505,5521.652480000021,0.04326923076923077,5.199969320181011,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.2749924775443824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61328125,74.61328125,3.70412,50.39169,78.47025769999995,0.0,1.7749895275617873,0.0,0.0,7.428836822509766,13.420173645019531,0.491186,0.491186,0.491186,0.0,0.024999852500870244,0.0,0.0,0.0,0.0,12.8244505,26.631854049999987,31.58276521,0.0,0.24999852500870245,0.0,0.0,0.0,0.0,7.928338,7.928338,7.928338,0.0,0.024999852500870244,0.0,0.0,0.0,0.0,0.4208135,61.44359634999992,149.54659741999996,0.0,0.9999941000348098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012329525439082079,0.012329525439082079,40.961063385009766,206.3255844116211,0.0,0.0,0.0,0.0,0.0,50.8367195,0.0,110.046875,110.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2026-09-15T05:48:04.775230+00:00,2026-09-15T05:48:44.775348+00:00,28.7166295,114.58180659999988,154.85387332000002,0.0,0.2499992625021756,0.0,0.0,0.0,0.0,3.61905,20.170135000000013,104.67794600000005,0.0,1.0999967550095726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935866,16.58414459999999,23.49733372,0.0,0.22499933625195806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.563433,154.09197974999995,332.99791675000034,0.05357142857142857,5.599983480048734,0.0,0.0,3.8117552537184496,34.94822692871094,15.027,212.32659999999888,5005.967240000003,0.04844290657439446,7.224978686312875,0.0,0.0,0.0,0.0,0.0,0.0,5.599999999999994,0.0,1.6249952062641415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.448295,89.71704210000001,112.40953086000003,0.0,2.174993583768928,0.0,0.0,0.0,0.0,0.606432,0.684417,0.691349,0.0,0.07499977875065268,0.0,0.0,0.0,0.0,8.108055,68.7792245,84.51017450000002,0.0,0.27499918875239315,0.002625,0.002625,51.16796875,51.16796875,100.401856,147.3611335,151.5352915,0.0,0.07499977875065268,0.0,0.0,0.0,0.0,0.363721,3.3238449499999985,5.997935999999998,0.0,1.3499960175117482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2026-09-15T05:48:52.037871+00:00,2026-09-15T05:49:32.037959+00:00,80.864641,209.98629199999993,233.58394639999995,0.0,0.17499961500084701,0.02147819205065072,0.02147819205065072,16.688156127929688,61.18242645263672,1.7572,18.60278999999999,46.981698000000044,0.0,0.574998735002783,44.3369335,0.0,74.3515625,74.3515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47533,5.908812799999999,6.47093056,0.0,0.12499972500060501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.160409,110.61074590000001,2878.0103158600086,0.04790419161676647,4.174990815020207,0.0,0.0,0.0,0.0,11.862,137.7037999999999,5805.948519999995,0.04285714285714286,5.24998845002541,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000003,0.0,1.099997580005324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489375,0.0955,74.61328125,74.61328125,4.912058,55.345078399999984,88.09953303999986,0.0,1.4249968650068972,0.0,0.0,0.0,0.0,0.7941815,0.95517485,0.96948537,0.0,0.049999890000242,0.0,0.0,0.0,0.0,15.578542,37.4111264,38.34444608,0.0,0.17499961500084701,0.0,0.0,0.0,0.0,27.122947,40.786873899999996,42.00144518,0.0,0.049999890000242,0.0,0.0,0.0,0.0,0.2922345,21.25331085,46.77388284000004,0.0,1.199997360005808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012306349552694742,0.012306349552694742,21.11323070526123,69.94612884521484
baseline,2026-09-15T05:49:39.213669+00:00,2026-09-15T05:50:19.214016+00:00,34.129822,311.8278772999998,392.74121065999987,0.0,0.17499848188816963,0.00843461984978795,0.00843461984978795,16.99482822418213,61.186073303222656,1.9553,20.194919999999982,32.281919999999985,0.0,0.7249937106795599,44.786012,0.0,73.71484375,73.71484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.608095,26.365377799999997,27.37442756,0.0,0.24999783126881375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6227265,113.36653579999998,15001.196997770001,0.044444444444444446,4.499960962838648,0.0,0.0,3.857538076547476,34.862510681152344,16.254,191.18539999999982,10849.00796000002,0.04897959183673469,6.124946866085937,0.0,0.0,0.0,0.0,0.0,0.0,3.799999999999997,0.0,1.6249859032472893,0.0,0.0,0.0,0.0,237.600852,237.600852,237.600852,0.0,0.024999783126881375,0.0409375,0.046125,75.11328125,75.11328125,5.703412,53.23949684999995,4823.27756979,0.0,2.4999783126881376,0.0,0.0,7.213993072509766,12.990486145019531,0.6680135,0.7921914499999999,0.80322949,0.0,0.04999956625376275,0.0,0.0,0.0,0.0,11.080963,24.903946549999993,36.650254109999985,0.0,0.34999696377633926,0.0,0.0,0.0,0.0,24.249645,42.607537199999996,44.239349839999996,0.0,0.04999956625376275,0.0,0.0,0.0,0.0,0.269367,8.746178,239983.82252239913,0.01639344262295082,1.524986770739764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007563246451736435,0.007563246451736435,40.129034996032715,209.71749877929688,0.0,0.0,0.0,0.0,0.0,51.663679,0.0,109.8671875,109.8671875,0.0,0.0,0.0,0.0,0.0,0.0186967084266184,0.0186967084266184,21.61724281311035,69.95942687988281
baseline,2026-09-15T05:50:26.726839+00:00,2026-09-15T05:51:06.726987+00:00,119.006158,151.0620925,153.9115089,0.0,0.0499998150006845,0.011596566329188467,0.011596566329188467,17.312283515930176,61.194679260253906,2.0626,18.945039999999985,2548.25791400001,0.0,0.9499964850130054,44.94139,0.0,73.5546875,73.5546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1296075,5.3205937,5.397781139999999,0.0,0.29999889000410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.03163,138.8624284000001,7311.084925319849,0.013071895424836602,3.8249858475523637,0.0,0.0,3.9785279494065504,36.590599060058594,17.167,183.51485,6214.104019999954,0.02127659574468085,4.6999826100643425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9249965775126632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355625,0.04,75.63671875,75.63671875,4.347258,47.306602299999845,112.63280707999978,0.0,2.0749923225284066,0.0,0.0,7.503055572509766,13.568611145019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.280808,25.4936075,25.8293663,0.0,0.2749989825037647,0.025,0.025,51.125,51.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265034,2.6274494499999985,6.790481140000005,0.0,1.1999955600164278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00834375355234739,0.00834375355234739,39.01212692260742,209.71749877929688,0.0,0.0,0.0,0.0,0.0,52.0297275,0.0,109.1171875,109.1171875,0.0,0.0,0.0,0.0,0.0,0.017105054486961646,0.017105054486961646,18.123849868774414,69.96705627441406
baseline,2026-09-15T05:51:13.935609+00:00,2026-09-15T05:51:53.935720+00:00,10.563115,69.42828679999998,90.41970696,0.0,0.22499937562673267,0.0,0.0,0.0,0.0,2.3449,15.060584999999989,24.100586000000007,0.0,0.7499979187557755,45.459562,0.0,73.59765625,73.59765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.945983,12.871865599999976,20.496751519999986,0.0,0.3249990981275027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.376824,86.16629059999998,7114.186947949983,0.05194805194805195,3.8499893162796477,0.0,0.0,3.831422659067007,34.639793395996094,13.601,88.91239999999998,6735.783480000033,0.04878048780487805,5.124985778164466,0.0,0.0,0.0,0.0,0.0,0.0,2.3000000000000043,0.0,1.3749961843855885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.762237,43.666115200000014,9100.543734079807,0.0,1.9249946581398238,0.0,0.0,7.503055572509766,13.568611145019531,0.7126455,1.0368286500000001,1.0656449300000002,0.0,0.04999986125038503,0.0,0.0,0.0,0.0,10.95146,18.1779223,18.606029260000003,0.0,0.24999930625192518,0.002625,0.002625,51.125,51.125,16.890809,18.8187215,18.9900915,0.0,0.04999986125038503,0.0,0.0,0.0,0.0,0.254005,14.284103599999968,26.90456464000002,0.0,1.1249968781336632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004421887252766403,0.004421887252766403,39.892788887023926,209.71749877929688,0.0,0.0,0.0,0.0,0.0,52.2989115,0.0,109.046875,109.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2026-09-15T05:52:01.178907+00:00,2026-09-15T05:52:41.179144+00:00,72.708962,251.435827,270.580451,0.0,0.14999911125526583,0.01332129645939757,0.01332129645939757,17.694905281066895,61.213706970214844,1.31895,11.570775,25.8708,0.0,0.6499961487728185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.709553,9.485055999999998,10.801563199999999,0.0,0.22499866688289874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.842161,230.8599715,4823.489196200166,0.04678362573099415,4.274974670775076,0.0,0.0,0.0,0.0,14.616,286.7508,5977.845479999998,0.043668122270742356,5.724966079575979,0.0,0.0,0.0,0.0,0.0,0.0,2.819999999999993,0.0,1.4999911125526582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.076359,52.4997245999998,167.16425964000004,0.0,1.8249891869390675,0.0,0.0,0.0,0.0,0.533819,0.6715199,0.6837599799999999,0.0,0.049999703751755276,0.0,0.0,0.0,0.0,9.672211,21.20870975,21.65298035,0.0,0.24999851875877635,0.002,0.002,51.125,51.125,29.9523345,46.72242555,48.21310031,0.0,0.049999703751755276,0.0,0.0,0.0,0.0,0.325673,3.021700999999997,7.900208999999975,0.0,1.2249927419180042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2026-09-15T05:52:48.408239+00:00,2026-09-15T05:53:28.408575+00:00,82.702243,212.46432019999997,213.51844963999997,0.0,0.12499895000881993,0.01398157721590375,0.01398157721590375,18.04341411590576,61.42577362060547,2.5271,44.56322,44.848404,0.0,0.42499643002998777,45.757833500000004,0.0,74.26171875,74.26171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.838052,15.130117299999998,15.28743226,0.0,0.1749985300123479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.099852,332.71804,9291.86184879992,0.028368794326241134,3.524970390248722,0.0,0.0,0.0,0.0,17.249,443.64080000000024,9012.69256000001,0.03468208092485549,4.32496367030517,0.0,0.0,0.0,0.0,0.0,0.0,0.6799999999999997,0.0,0.8249930700582115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008383928571428572,0.009428571428571429,75.63671875,75.63671875,11.86162,55.995449549999954,9435.067831979977,0.0,1.3499886600952553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.133668,24.42844999999999,27.10382599999999,0.0,0.1749985300123479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333924,17.202824399999983,25.379183260000012,0.0,1.2999890800917273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010169963778211201,0.010169963778211201,18.752605438232422,69.97422790527344
adFailure,2026-09-15T05:53:47.887304+00:00,2026-09-15T05:54:27.887580+00:00,107.4605495,1578.4375255,1945.1234619000004,0.0,0.14999896500714147,0.01589904463139883,0.01589904463139883,18.40482234954834,61.459083557128906,2.2512,31.676379999999853,1456.0100600000012,0.0,0.924993617544039,47.026984,0.0,74.609375,74.609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.088397,26.58435129999999,30.062824660000004,0.0,0.24999827501190242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.04154,152.23532839999888,14970.56772176,0.04145077720207254,4.8249667077297165,0.0,0.0,0.0,0.0,16.517,202.49,9138.547999999779,0.0421455938697318,6.524954977810653,0.0,0.0,0.0,0.0,0.0,0.0,1.9599999999999795,0.0,1.7249880975821268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01178125,0.01321875,75.51171875,75.51171875,6.415721,44.09333589999996,148.13763728,0.0,2.449983095116644,0.0,0.0,7.385868072509766,13.365486145019531,0.622883,0.6475816999999999,0.64977714,0.0,0.04999965500238048,0.0,0.0,0.0,0.0,13.0721565,33.536038399999995,38.11765647999999,0.0,0.3499975850166634,0.0,0.0,0.0,0.0,10.436236,13.4948203,13.76669446,0.0,0.04999965500238048,0.0,0.0,0.0,0.0,0.2806115,13.931234900000005,163.62459926000008,0.0,1.0999924100523706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6942835,0.0,108.9609375,108.9609375,0.0,0.0,0.0,0.0,0.0,0.020973945859641484,0.020973945859641484,19.257840156555176,69.98802185058594
adFailure,2026-09-15T05:54:59.091391+00:00,2026-09-15T05:55:39.091654+00:00,640.263333,6872.4271031499975,7683.639131829998,0.0,0.09999934250432305,0.017035107535557044,0.017035107535557044,18.831103324890137,61.50727844238281,3.12535,35.55212999999998,43.388856,0.0,0.8499944112867459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5256525,19.990009549999996,20.76919631,0.0,0.2999980275129691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6800955,110.36337789999968,7635.834447229958,0.025,3.9999737001729216,0.0,0.0,0.0,0.0,13.741,147.2385,6096.617799999959,0.02912621359223301,5.149966138972637,0.0,0.0,0.0,0.0,0.0,0.0,1.0600000000000023,0.0,1.1999921100518764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.490142,56.75422189999991,18057.945077919907,0.0,1.97498701446038,0.0,0.0,0.0,0.0,0.471727,0.471727,0.471727,0.0,0.02499983562608076,0.0,0.0,0.0,0.0,11.242727,25.6327955,29.329464700000003,0.0,0.27499819188688834,0.0,0.0,0.0,0.0,12.614629,12.614629,12.614629,0.0,0.02499983562608076,0.0,0.0,0.0,0.0,0.4382005,38.611447699999964,372.8345098699975,0.0,1.4999901375648457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
